ds,y,yhat_arima,lower_bound_arima,upper_bound_arima,yhat_prophet,lower_bound_prophet,upper_bound_prophet,ensemble_forecast
1990-01-01,176469738557.14285,173330603200.14963,49378726621.34596,297282479778.9533,173570470124.03885,73639889574.88533,275248833491.00726,173450536662.09424
1991-01-01,176944153785.7143,173805018428.72104,49853141849.91739,297756895007.52466,188079909409.62186,81115679389.66896,288143903913.96216,180942463919.17145
1992-01-01,177418569014.2857,174279433657.29248,50327557078.48883,298231310236.0961,202630192902.5501,92504485846.60439,304684661521.3565,188454813279.9213
1993-01-01,177892984242.85715,174753848885.8639,50801972307.06024,298705725464.66754,180146981705.80722,74003413369.09926,287446673918.74457,177450415295.83557
1994-01-01,178367399471.42856,175228264114.43533,51276387535.63167,299180140693.239,194614894610.9752,94375878849.53369,304224285213.6226,184921579362.70526
1995-01-01,178841814700.0,175702679343.00674,51750802764.20311,299654555921.81036,209136161322.0285,113622444252.02556,314230516877.6149,192419420332.51764
1996-01-01,179316229928.57144,176177094571.5782,52225217992.77455,300128971150.38184,223696679606.35226,115782732841.14156,327328721127.67053,199936887088.9652
1997-01-01,179790645157.14285,176651509800.14966,52699633221.34601,300603386378.9533,201223731241.55347,95695962808.9041,309603640572.181,188937620520.85156
1998-01-01,180265060385.7143,177125925028.72104,53174048449.917404,301077801607.52466,215699865541.72556,105989776376.42966,328359542140.32056,196412895285.2233
1999-01-01,180739475614.2857,177600340257.29248,53648463678.488846,301552216836.0961,230229353647.81683,122657997911.68018,335090663371.7273,203914846952.55466
2000-01-01,181213890842.85715,178074755485.8639,54122878907.06026,302026632064.66754,257274010086.5629,151168264083.82635,365927585676.2906,217674382786.21338
2001-01-01,181688306071.42856,178549170714.43533,54597294135.631714,302501047293.23895,247319402994.301,147445629692.87878,353630240522.195,212934286854.36816
2002-01-01,182162721300.0,179023585943.00674,55071709364.20311,302975462521.81036,274286005050.83618,169840281201.6888,375772355903.24756,226654795496.92145
2003-01-01,221358563000.0,179498001171.5782,55546124592.77457,303449877750.38184,301305960913.2747,201508210269.9635,403057549349.034,240401981042.42645
2004-01-01,249791940700.0,234294100889.06464,110342224310.26099,358245977467.8683,374481193878.55853,266371846412.62878,478285046109.0785,304387647383.8116
2005-01-01,308163225800.0,281512618373.51044,157560741794.7068,405464494952.3141,410783548454.24396,314552553058.34515,506049987160.3038,346148083413.8772
2006-01-01,348048404600.0,345518983497.7737,221567106918.97003,469470860076.57733,483886743834.0128,378344980773.304,587674071785.4812,414702863665.89325
2007-01-01,485419056200.0,395832790810.0317,271880914231.22803,519784667388.8353,557043293019.7516,449711786852.49786,664892587045.5455,476438041914.8916
2008-01-01,515046858600.0,561440474215.2429,437488597636.43933,685392350794.0465,630247204426.2968,526853513747.4561,729836096279.7312,595843839320.7698
2009-01-01,611692107000.0,605870463507.422,481918586928.61835,729822340086.2256,666578316014.0999,561279353809.9734,773629082693.3367,636224389760.761
2010-01-01,726231122700.0,665181056433.0267,541229179854.2231,789132933011.8303,739690882163.5544,635579289664.0491,844954435455.6946,702435969298.2905
2011-01-01,850347275400.0,826946355143.3688,702994478564.5652,950898231722.1724,812856802118.8966,713906543006.8469,915492895931.6085,819901578631.1327
2012-01-01,1028794220100.0,965605634675.312,841653758096.5084,1089557511254.1156,886060713550.3066,779635036713.2418,997712048120.613,925833174112.8093
2013-01-01,1138809791300.0,1171660265062.3738,1047708388483.5702,1295612141641.1775,922391825163.1327,818748231928.7257,1030764284401.5516,1047026045112.7532
2014-01-01,1176469485800.0,1286547668944.3723,1162595792365.5686,1410499545523.176,995504391312.5876,886180772950.142,1097332498529.7251,1141026030128.48
2015-01-01,1222756495400.0,1254194868893.586,1130242992314.7822,1378146745472.3896,1068670311267.8314,955729588617.0085,1174329834103.371,1161432590080.7087
2016-01-01,1222916881100.0,1260752865065.0562,1136800988486.2524,1384704741643.8599,1141874222699.257,1033260711292.3837,1246977135819.458,1201313543882.1567
2017-01-01,1285460326500.0,1247481058927.625,1123529182348.8213,1371432935506.4287,1178205334312.0183,1067466621107.0704,1282633857916.812,1212843196619.8218
2018-01-01,1327690394700.0,1307614737367.4092,1183662860788.6055,1431566613946.213,1251317900461.4731,1151187008465.417,1360525416019.3882,1279466318914.4412
2019-01-01,1469596303300.0,1378910762300.6912,1254958885721.8875,1502862638879.4949,1324483820416.8613,1214709158897.7783,1430692220058.4375,1351697291358.7764
2020-01-01,1547289027600.0,1548845075614.576,1424893199035.7722,1672796952193.3796,1397687731848.2295,1291123890715.0515,1498851989857.7737,1473266403731.4028
2021-01-01,1232858252900.0,1660185311698.0996,1536233435119.296,1784137188276.9033,1434018843461.0073,1328199862802.4326,1540177149671.171,1547102077579.5535
2022-01-01,1232858252900.0,1149431407841.3484,1025479531262.5448,1273383284420.152,1507131409610.5105,1397410715764.3682,1613760015846.4048,1328281408725.9294
2023-01-01,,1041967591542.1101,918015714963.3065,1165919468120.9138,1580297329565.8254,1472131191994.5874,1687886098376.48,1311132460553.9678
2024-01-01,,961921589840.4836,748375686955.4222,1175467492725.545,1653501240997.1106,1549443540547.4453,1757967524120.6292,1307711415418.797
2025-01-01,,812549375453.4136,469856747671.6578,1155242003235.1694,1689832352609.9043,1582395309480.5366,1793661199490.276,1251190864031.659
2026-01-01,,701433789962.9398,221665584737.5094,1181201995188.37,1762944918759.369,1656218994933.1238,1874307368549.4124,1232189354361.1543
2027-01-01,,564335438552.1508,-72816852625.151,1201487729729.4526,1836110838714.7893,1730847306219.8315,1941412054971.7197,1200223138633.47
2028-01-01,,439612667085.1138,-366220457725.3771,1245445791895.6045,1909314750146.1152,1798804569323.466,2014278342835.9778,1174463708615.6145
2029-01-01,,304361108208.7282,-684464723210.8792,1293186939628.3357,1945645861758.9265,1831010012962.2996,2051897794824.4197,1125003484983.8274
2030-01-01,,172257317364.27588,-1010760190636.7058,1355274825365.2576,2018758427908.2996,1913129832751.361,2127591291058.7124,1095507872636.2877
