ds,y,yhat_arima,lower_bound_arima,upper_bound_arima,yhat_prophet,lower_bound_prophet,upper_bound_prophet,yhat_ensemble
2004-01-01,1957751213000.0,1925111696866.135,1597420136508.8687,2252803257223.4014,1918969541943.43,1783380286718.8345,2046652443491.9595,1922040619404.7825
2005-01-01,2170584503400.0,2223574636966.5454,1895883076609.2788,2551266197323.812,2132014033936.4294,1994715375261.994,2269522207982.192,2177794335451.4873
2006-01-01,2409449922100.0,2470291805272.0645,2142600244914.7979,2797983365629.331,2460221350610.873,2328823039601.42,2605662146367.955,2465256577941.4688
2007-01-01,2720262937800.0,2707638066718.394,2379946506361.1274,3035329627075.6606,2778644162689.33,2647961380316.9106,2921571391710.9443,2743141114703.8623
2008-01-01,3109803089000.0,3019363861932.171,2691672301574.9043,3347055422289.4375,3149820425889.861,3003001094487.1636,3289808759409.16,3084592143911.0156
2009-01-01,3333039355400.0,3445631400486.692,3117939840129.4253,3773322960843.9585,3571262920255.21,3425929682597.8833,3704789325630.1616,3508447160370.951
2010-01-01,3885847000000.0,3721680934554.787,3393989374197.5205,4049372494912.0537,3962078264903.4805,3819797415522.3755,4099158931533.952,3841879599729.134
2011-01-01,4376382000000.0,4265967619952.198,3938276059594.9316,4593659180309.465,4343109104955.7715,4217276839245.5737,4488258336641.93,4304538362453.985
2012-01-01,4814760000000.0,4856349087045.555,4528657526688.288,5184040647402.821,4714318340903.45,4584957634791.871,4847021751951.583,4785333713974.502
2013-01-01,5331619000000.0,5361093275701.958,5033401715344.691,5688784836059.225,5135793898352.395,5001876231630.839,5269473922895.035,5248443587027.176
2014-01-01,5778953000000.0,5883467645850.534,5555776085493.268,6211159206207.801,5526609243000.589,5385848934069.739,5660300213029.679,5705038444425.562
2015-01-01,5995787000000.0,6335497252669.446,6007805692312.18,6663188813026.713,5907640083052.985,5762300678474.354,6048002595255.292,6121568667861.216
2016-01-01,6269328000000.0,6508526856950.134,6180835296592.867,6836218417307.4,6278849319000.256,6153596447590.022,6419906552357.552,6393688087975.195
2017-01-01,6585479000000.0,6650367045421.754,6322675485064.487,6978058605779.0205,6700324876449.041,6559045675073.554,6834691407157.136,6675345960935.397
2018-01-01,7004141000000.0,6889009234968.863,6561317674611.597,7216700795326.13,7091140221097.446,6955903642053.083,7231180634460.119,6990074728033.154
2019-01-01,7389131000000.0,7314785348234.024,6987093787876.758,7642476908591.291,7472171061150.078,7340547886213.978,7600472718118.957,7393478204692.051
2020-01-01,7467616389400.0,7776932355903.864,7449240795546.598,8104623916261.131,7843380297097.217,7709576331367.239,7975695475448.165,7810156326500.541
2021-01-01,8679489568000.0,7886633080258.619,7558941519901.353,8214324640615.886,8264855854546.167,8123414001706.262,8407497255726.87,8075744467402.393
2022-01-01,8679489568000.0,9058151162958.318,8730459602601.052,9385842723315.584,8655671199194.361,8522217580311.23,8784327326236.27,8856911181076.34
2023-01-01,,9376079923755.625,9048388363398.36,9703771484112.89,9036702039246.547,8893058143144.133,9168303585797.547,9206390981501.086
2024-01-01,,9943446743770.27,9461959031060.229,10424934456480.31,9407911275194.428,9265979849141.848,9546096607308.764,9675679009482.348
2025-01-01,,10535487734992.305,9833356355969.453,11237619114015.156,9829386832642.719,9695051021723.627,9958746659548.447,10182437283817.512
2026-01-01,,11152202897421.73,10182176835495.824,12122228959347.637,10220202177291.17,10073855437123.502,10370000613133.406,10686202537356.45
2027-01-01,,11793592231058.547,10518519168820.799,13068665293296.295,10601233017343.906,10431952349392.27,10773463818310.354,11197412624201.227
2028-01-01,,12459655735902.754,10847928287657.277,14071383184148.23,10972442253291.13,10801692181647.414,11164176595062.31,11716048994596.941
2029-01-01,,13150393411954.352,11173879471882.383,15126907352026.32,11393917810740.0,11193901550211.027,11601430863563.438,12272155611347.176
2030-01-01,,13865805259213.34,11498796194594.045,16232814323832.635,11784733155388.428,11543726756633.904,12031109849877.16,12825269207300.883
